,rater_id,dataset,subject,rating,artifacts,time_sec,confidence,comments
0,emeline,IXI dataset - MRIQC derivatives,sub-0152_T1w,2.45,"[""noise-global"",""processing"",""uncategorized""]",255.737,2.65,"Image blurry, smooth, Slight drop out in frontal "
1,emeline,IXI dataset - MRIQC derivatives,sub-0152_T1w,2.55,"[""noise-global"",""inu"",""processing"",""uncategorized""]",58.812,2.5,"blurry, smooth image, A bit of signal dropout in frontal"
2,emeline,IXI dataset - MRIQC derivatives,sub-1051_T1w,2.85,"[""noise-local"",""processing""]",150.737,3.5,Smooth. but seems to be the case of most of the images of the dataset
3,emeline,IXI dataset - MRIQC derivatives,sub-1186_T1w,2.55,"[""wrap-around"",""uncategorized""]",104.95,3.35,"Slightly short FoV in frontal, bordeline cutting the cortex, Small artefact in the background"
4,emeline,IXI dataset - MRIQC derivatives,sub-0951_T1w,3.45,"[""inu""]",84.569,3.5,
5,emeline,IXI dataset - MRIQC derivatives,sub-0902_T1w,2.95,"[""processing""]",68.889,3.5,
6,emeline,IXI dataset - MRIQC derivatives,sub-0250_T1w,2.55,"[""uncategorized""]",90.318,3.15,looks like a bit of drop out in frontal and a bit of background artefact
7,emeline,IXI dataset - MRIQC derivatives,sub-0394_T1w,2.95,"[""wrap-around"",""processing""]",97.632,1.95,FoV cut a bit short in frontal
8,emeline,IXI dataset - MRIQC derivatives,sub-0924_T1w,2.6,"[""noise-local"",""inu"",""processing""]",79.662,3.5,
9,emeline,IXI dataset - MRIQC derivatives,sub-0472_T1w,2.65,"[""noise-local"",""inu"",""processing""]",100.888,2.25,low contrast on some views
10,emeline,IXI dataset - MRIQC derivatives,sub-0328_T1w,3.0,"[""processing""]",58.33,3.5,
11,emeline,IXI dataset - MRIQC derivatives,sub-0661_T1w,3.55,[],38.417,3.5,
12,emeline,IXI dataset - MRIQC derivatives,sub-0050_T1w,2.6,"[""inu"",""processing""]",128.529,2.15,"low contrast, background noise"
13,emeline,IXI dataset - MRIQC derivatives,sub-1221_T1w,2.85,"[""noise-local"",""wrap-around"",""processing""]",97.831,2.8,a bit short with FoV frontal but should be ok
14,emeline,IXI dataset - MRIQC derivatives,sub-0752_T1w,3.15,"[""processing""]",67.015,3.5,
15,emeline,IXI dataset - MRIQC derivatives,sub-0336_T1w,3.55,[],47.351,3.5,
16,emeline,IXI dataset - MRIQC derivatives,sub-0459_T1w,2.95,"[""wrap-around"",""uncategorized""]",77.456,3.3,"FoV a bit short in occipital, Artefact in the background"
17,emeline,IXI dataset - MRIQC derivatives,sub-0775_T1w,3.4,[],40.714,3.5,
18,emeline,IXI dataset - MRIQC derivatives,sub-1130_T1w,2.7,"[""noise-local"",""inu""]",75.811,3.5,
19,emeline,IXI dataset - MRIQC derivatives,sub-0656_T1w,3.25,"[""processing""]",48.472,3.5,
20,emeline,IXI dataset - MRIQC derivatives,sub-0270_T1w,2.8,"[""inu"",""processing"",""uncategorized""]",57.819,2.35,a bit of artefact  in the background
21,thomas,IXI dataset - MRIQC derivatives,sub-0152_T1w,3.55,[],87.335,3.2,
22,thomas,IXI dataset - MRIQC derivatives,sub-1051_T1w,3.7,"[""eye-spillover""]",90.109,2.6,
23,thomas,IXI dataset - MRIQC derivatives,sub-1186_T1w,3.3,"[""eye-spillover"",""field-variation""]",57.132,2.8,
24,thomas,IXI dataset - MRIQC derivatives,sub-0951_T1w,3.35,"[""noneye-spillover""]",56.134,3.5,
25,thomas,IXI dataset - MRIQC derivatives,sub-0902_T1w,3.3,"[""noneye-spillover""]",25.728,3.1,
26,thomas,IXI dataset - MRIQC derivatives,sub-0250_T1w,3.45,"[""eye-spillover""]",49.698,2.95,
27,thomas,IXI dataset - MRIQC derivatives,sub-0394_T1w,3.45,"[""eye-spillover"",""noneye-spillover""]",61.316,3.0,
28,thomas,IXI dataset - MRIQC derivatives,sub-0924_T1w,3.0,"[""eye-spillover"",""noneye-spillover"",""noise-local""]",72.543,3.5,
29,thomas,IXI dataset - MRIQC derivatives,sub-0472_T1w,3.4,"[""eye-spillover""]",64.963,2.95,
30,thomas,IXI dataset - MRIQC derivatives,sub-0328_T1w,3.95,"[""inu""]",115.024,2.45,
31,thomas,IXI dataset - MRIQC derivatives,sub-0661_T1w,3.4,"[""noise-local"",""wrap-around""]",92.792,3.35,
32,thomas,IXI dataset - MRIQC derivatives,sub-0050_T1w,2.1,"[""noneye-spillover"",""uncategorized""]",110.341,1.8,Blurry around 95ish + low contrast GM/WM
33,thomas,IXI dataset - MRIQC derivatives,sub-1221_T1w,3.0,"[""eye-spillover"",""noneye-spillover""]",72.873,2.45,
34,thomas,IXI dataset - MRIQC derivatives,sub-0752_T1w,2.85,"[""eye-spillover"",""noneye-spillover"",""inu""]",65.946,1.65,
35,thomas,IXI dataset - MRIQC derivatives,sub-0336_T1w,3.1,"[""noneye-spillover"",""noise-local"",""inu""]",79.785,2.35,
36,thomas,IXI dataset - MRIQC derivatives,sub-0459_T1w,3.1,"[""eye-spillover"",""noneye-spillover"",""inu""]",55.182,2.45,
37,thomas,IXI dataset - MRIQC derivatives,sub-0775_T1w,3.55,"[""eye-spillover"",""inu""]",129.072,3.1,
38,thomas,IXI dataset - MRIQC derivatives,sub-1130_T1w,3.45,"[""noneye-spillover""]",65.386,2.5,
39,thomas,IXI dataset - MRIQC derivatives,sub-0656_T1w,3.55,"[""noneye-spillover""]",50.209,2.3,
40,thomas,IXI dataset - MRIQC derivatives,sub-0270_T1w,3.7,"[""eye-spillover""]",42.1,3.5,
41,thomas,IXI dataset - MRIQC derivatives,sub-0086_T1w,3.55,"[""eye-spillover"",""noneye-spillover""]",59.847,3.5,
42,thomas,IXI dataset - MRIQC derivatives,sub-0205_T1w,1.75,"[""head-motion"",""eye-spillover"",""noneye-spillover"",""noise-global"",""inu""]",76.989,3.5,
43,thomas,IXI dataset - MRIQC derivatives,sub-1163_T1w,3.05,"[""noise-local""]",68.851,2.35,
44,thomas,IXI dataset - MRIQC derivatives,sub-1163_T1w,2.7,"[""noise-local""]",33.272,2.65,blurry
